,careerjunction_za_courses,careerjunction_za_employer_names,careerjunction_za_future_jobtitles,careerjunction_za_historical_jobtitles,careerjunction_za_primary_jobtitle,careerjunction_za_recent_jobtitles,careerjunction_za_skills,id
1802,"[Business Anlysis,Microsoft Project 2000,Project Management,Post-Graduate Diploma In Business Management,Vb 6.0 Programming And Sql 7 Database Implemention,Certificate In Business Process Redesign (Bpr),Systems Development Workshop,Bachelor Of Science (Bsc),Principles Of Databases]","[eTthekwini Municipality,University of Zululand,University of Zululand - Computer Science Dept.]",[],[],Systems Developer,"[Student Assistant,Student Assistant]","[Project Management,Workflow Process Modeler,Crystal Report 6.0, 8.0, 8.5,Microsoft Access 97, 2000,Microsoft Project 2000,Microsoft Sql Server 7.0,Business Analysis,Visual Basic 6.0,Tibco Process Modeller,Microsoft Visio 2000,Workflow Process Analyser,Ideal/Datacom,JCL,Microsoft Visual Interdev 6.0,Allfussion Process Modeler]",1803
1803,[BSc Computer Science + Math],"[COJ,Izazi Solutions,Sappi,Standard Bank,Telkom]",[],"[SAP ABAP Consultant,SAP ABAP Developer,SAP Developer]",ABAP Consultant,"[SAP ABAP Consultant,SAP ABAP Consultant]","[SAP ABAP / Workflow,optimization,BAPI,DIALOG programming,workflow,PPF,interfaces,development,BADI,BS,CO,MM,FI,SD,PS,RETAIL]",1804
1804,"[Project Management Professional,Bachelor Of Technology: Information Technology,Matric Exemption]","[ABSA Bank,Alexander Forbes,ATM Solutions,Bancabc,Outsourcing Business Solutions,PPH Firstrand Bank,Yellow DOG Software]",[Project Manager],"[IT Project Manager,Project Manager,Project Manager Team Leader Software Developer,Software Engineer]",Project Manager,"[Project Manager,IT Project Manager]","[SDCL,Waterfall,Agile]",1805
1805,"[Fundamentals Of Project Management,Web Design,Fundamentals Of Html Programming,Wholesale Tourism,Cotac 1,Matric]","[Impact Incentives,Keith Kirsten Nursery,SAN Juan Spur,Spca Randburg,Tinky Tonks Restaurant,XO Africa Events CC.,XO Africa Safaris CC.,XO Africa Safaris-Inbound Incentive,Groups & FIT]","[Events Manager,Travel Manager,Incentive Manager,Travel Manager,Incentive Manager]","[World Cup Consultant DMC Consultant,Account Manager,National IT Support Manager and Process Analyst,Designer & IT Support Manager Marketing Co-Ordinat,Account Manager,Operations Assistant,Waitress,Front of House,Waitress,Voluntary Work]",Office Manager and Business Developer Xo Travel Rebranded the Company Departments and is Now Trading as Xo Events,"[Office Manager and Business Developer,Danone World Cup Consultant DMC Consultant]","[Project Management,Event Management,Outbount & Inbound Incentive Travel/Account Manage]",1806
1806,"[Togaf,Microsoft Certified IT Professional: Business Intelligence Developer,National Diploma: Information Technology]","[Achievement Awards,International College Group,Sanlam Private Wealth,Shoprite]","[Solution Architect,Senior ETL Developer,Senior SQL Developer,Data Architect]",[MIS Analyst\\Developer],Integration and Business Intelligence Development Manager,"[Business Intelligence Developer,MIS Analyst]","[SSIS,Microsoft  SQL Server 2005,Crystal Reports,Microsoft  SQL Server 2008,SSRS,ProClarity \u2022,E-Reports,InetSoft (Styles) \u2022,Microsoft  SQL Server 2014,SDLC,Crystal Reports \u2022,Business Objects,Architecture,Visual Studio .NET   o,HTML \u2022,ASP .NET \u2022,Visual C++  \u2022,visio,JavaScript \u2022,VBScript \u2022,Cobol 85,VB6 \u2022,vb .NET \u2022]",1807
1807,[Diploma in Computer Sciences],[Digital River],"[Team Lead,Developer,Front-End Developer,Java Developer,Software Engineer,Web Developer,Manager IT]",[],Front-End Developer,[],"[user experience,mobile design,consultancy,project planning,e-commerce,hosting management,project management,database integration,training,web project management,CMS deployment,team leadership,visual design,UX development,PHP,Git,JavaScript,Saas,Splash,boostrap,HTML,JSP,XML,foundation,Node JS,XSLT,XHTML,CSS,jQuery,enthusiasm,dedicated,strong desire to succeed,self-starter,communication,dependable,Motivated,Focus,trustworthy,web analytics]",1808
1808,[B.Sc],"[Arivia.Kom,University of The Witwatersrand]",[],[],Developer,[Research Assistant],"[HTML,Delphi,SQL,C,Java]",1809
1809,"[Microsoft Dynamics CRM 2011 Customization and Configuration,Microsoft Dynamics CRM 2011 Reporting]","[Smollan Group,Tracker Connect]",[Dynamics CRM Developer],[],CRM Developer,[as400 Operator],"[Visual Studio,Microsoft office,AS400,CRM Dynamics,rpg,ssrs,javascript,html,C# development,ssis,crm dynamics customization,sql,objective c,java]",1810
1810,"[National Senior Certificate,Grade 10]","[RCS,The Foschini Retail Group,University of The Western Cape,Western Cape Signs]",[Administrator],[Customer Services Agent],Designer Developer,"[IT Helpdesk Agent,Senior Administrative Officer]","[Vision,Chrome,Torch,Alpha +,CasMate Pro,Citrix,Vision2.0,Vision plus,Corel Draw x17,Firefox,MS Office,Computer Skills,Customer Services,Admin,Inbound Call Centre,Marketing]",1811
1811,"[Msce And A+,Entrepreneurship,Information Communication Technology]","[EOH Mthombo,Jita Kingdom,Speedmaster Printers & Stationers CC]",[Service Desk Technician],[],IT Service Desk Analyst,"[Sales Representative,Business Developer Sales Rep]","[CA Call logging,Training,Troubleshooting,Hardware Insallation,Software Installation]",1812
1812,"[B.Sc. Applied Mathematics and Computer Science,Senior Certificate]","[Barone Budge & Dominick,Electronic ART Display,Labournet]",[Java Developer],[],Java Developer,"[Software Developer,Student Assistant]","[java,eclipse,SQL,Git,agile,XML,IntelliJ,Java EE,EJB,Maven,RestFul Services,SOAP Services,Oracle WebLogic Portal,Oracle PL/SQL,swing,vaadin,HTML,AngularJS,CSS,JavaScript,Spring,C++,XSD,jpa,C#]",1813
1813,"[Ditp2 - Diploma In Information Technology,Cpce: Certificate In Computer Engineering,Senior Certificate]","[Africa Media Online,Cube Technologies,Kidz Corner, 3 Oaks PRE Primary,KWA Madwala Private Game Reserve,Softlight Media]","[I.T Engineer,Graphic Designer,Sales]","[JNR Software Developer,Graphic Designer]",IT Educator,"[Videographer Photography Editor,I.T Administrator]","[Adobe Photoshop,N+,A+,HTML,CSS,Adobe Flash,Adobe Dreamweaver,Joomla,Wordpress,Adobe Illustrator,Corel Draw,Other CMS,Adobe Indesign,Javascript,PHP,jquery,Adobe Encore,Adobe Premiere Pro,Mcad/Mcsd,Asp.Net,Vb.Net,Sql Server,Wincc,Pcs7,Orsi]",1814
1814,"[Multimedia,NCS]","[EOH Mthombo,Techsprung]","[SAP ABAP Developer,SAP ABAP Consultant]",[],SAP ABAP Consultant,[JNR Software Developer],"[Java Script,VB,Java,Asp.Net,Css,Php,SAP Netweaver,SAPUI5,VB .NET,C#,Sapui5,WordPress,Html5,CSS3,PHP Asp .NET C#,ABAP,Communication,Teamwork,Problem Solving,Technical skills,MVC,Adobe Flash,Adobe Photo Shop,Adobe Audition,Adobe Dreamweaver,Adobe after Effects]",1815
1815,"[Strategic Leadership Development Programme,Senior Certificate]","[Affiliated Medical Administrators,Casey Software & Development,Domingo Upholsterers,Nedbank,Netnovation Technology,Olivetti,PIN Point Software,Vytill Technology]",[],"[Managing Director,Systems Analyst Project Leader,Senior Developer Project Leader Systems Analyst,Project Leader,Clerk]",Senior Manager Software Innovation and Support,"[Managing Director,Managing Director]","[Service Level Measurement,Root Cause Analysis,Problem Management,Service Level Management,Team Management And Leadership,Strategic Planning/ 3 Year Road Map,Systems Analysis And Design,Coach,Budgets And Finanacial Management,Contract Negotiations,Coaching,Programming In Cobol, Flexgen, Vb And Delphi]",1816
1816,"[Bsc(Hons) Advanced Mathematics Of Finance(Hybrid Computer Science),Bsc(Hons) Applied Mathematics,Bsc Applied Mathematics]","[Johannesburg Stock Exchange (Jse),Liberty Life(Libfin),Rand Merchant Bank]","[Quantitative Analyst,Quantitative Developer,Market Risk Manager,Market Risk Analyst,Credit Risk Analyst,System Developer,Java Developer]",[],Risk Manager,"[Quantitative Analyst and Risk Manager,Software Developer]","[Java EE framework,Matlab,Java,Microsoft Office,Programming,SQL,Python,C++]",1817
1817,"[Certificate,National Diploma: Information Technology]","[Nedbank,Practice Management Consulting]",[],[],Call Centre Consultant,[Software Developer],"[Visual Basic 6,Html]",1818
1818,"[Adabas Fundamentals,Business Process And Information Analysis,Practical Software Testing,Bcom (Bbusmm),Entry Level Professional Programmer]","[3fifteen,Accenture,Avanade,Fedgroup,Private Property Listings,Self,South African Weather Services]","[Systems Analyst,Systems Developer]","[Senior Developer,Software Architect,Analyst Programmer,Web Systems Developer,Web Developer,Developer]",Senior Developer,"[Systems Analyst,Senior Analyst Programmer]","[Angular2,.NetCore,OctopusDeploy,C#,Xml/Xslt,Classic Asp,Vb.Net,Technical Release Notes,Functional Release Notes,Application Design And Architecture,MS SQL Server 2005,Vb6 Application Development,MS SQL Server 2008,UML,Technical Specification Documents,Peer Reviews,Software Ag Entirex,MS Visual SourceSafe 2005,Helpdesk Support,Perl,Client/Server Application Performance Optimization,J2ee (Jsp/Servlets/Javabeans/Struts),WML,Teamcity,TDD,regex,Asp.Net,SQL,Git,Web API 2,Entity Framework,MSMQ,design patterns,c#,Winforms,Sql Server Integration Services,Sql Reporting Services,Wcf 4.0,Apache Tomcat 5,Linux (Redhat),Ibm Websphere Application Server Express,Fluent Nhibernate,PHP,Cobol,Ibm Db2,MS Team Foundation Server 2010,Devexpress Ui Controls,Sql Lite,Jetbrains Resharper Plugin,Wpf 4.0,Microsoft Dynamics Crm 2011,perl,SignalR,React Native,python,MongoDB]",1819
1819,"[B.Sc Computer Science,Senior Certificate]","[ABSA Bank,Boxmore Plastics International]",[Front-end developer],[],Front-End Developer,"[Absa Graduate,Laboratory Technician]","[HTML,Xslt,CSS,Javascript,Microsoft Outlook,Microsoft Excel,Microsoft Powerpoint,Microsoft Word,Windows Xp,XML,Windows 7,C Programming,Java,C++ Programming]",1820
1820,"[Oracle Database 11g Data Warehousing Certified Implementation Specialist,Course In Business Analysis,Oracle Certification Professional,Sql Server 2005 Analysis Server,Designing An Analysis Solution Architecture Using Sql Server,Designing Etl Solution Architecture Using Sql Server,Impl And Maintaining Sql Server 2005 Integration Services,Impl And Maintaining Sql Server 2005 Analysis Services,Impl And Maintaining Sql Server Reporting Services,Sql Server 2005,Microsoft Office Sharepoint Server 2007,Oracle 11g: New Features For Administrators,Oracle 11g: Administration Workshop Ed1,Oracle 11g: Administration Workshop Ed2,IT,Senior Certificate]","[Department of Labour,Discovery Health,PBT,Telkom]","[PLSQL / ETL oracle developer,System Analyst,Senior Oracle Consultant,Senior Oracle Developer,System Analyst]","[PL SQL Developer IT Consultant,ETL Oracle Developer]",Senior Oracle Consultant,"[Senior PLSQL Developer,PL SQL Developer]","[APEX,PLSQL,ORACLE,OBIEE,Java,Unix,Sql Server,Business Objects,Ab Nitio,Sql Server 2005,J Developer]",1821
1821,[Information Technology],"[Fihrst Management Services (Division of Aforbes),Mike Lewin & Associates,Qdata Consulting]",[],[],Senior DBA Developer,"[VB Database Developer,Helpdesk]","[Sql Server 97, 2000,Visual Basic,OO,UML,Com+,Windows 2000,Microsoft Office,Delphi 6, 7,.Net,Turbo Pascal 3 And Up,XML,Borland C++,Oracle Pl/Sql]",1822
1822,"[Mcsd.Net,Grade 12]","[Kalahari.Com,New Horizons Cape Town Learning Center,Plan-It Information Technology,Shell,Vivo Energy]",[Software Developer],"[Developer,Trainer Developer]",Developer C#.NET,"[Developer,Developer]","[Javascript,C#,Asp.Net,HTML,.Net,MS SQL Server,Jquery,MVC,Mentoring]",1823
1823,"[Ocp Internet Application Developer, Oracle Forms6,Bsc Honours In Computer Science,Bsc Degree]","[Eskom,Standard Coporate Merchant Bank]",[],[],Oracle Developer,[Oracle Developer],"[Oracle Forms/Reports, Pl/Sql,Java,Unix]",1824
1824,"[A+,National Diploma Computer Systems,Matric]","[Bison Computers,Gijima AST / Columbus Stainless Steel,Health Advantage Practice Management,Raiden Business Services,Sybase / Standard Bank,Valuetech]",[],"[Senior PC Technician,PC Technician,PC Technician]",Developer,"[Programmer,Programmer]","[C++,MS Software/Operating systems,Ibm Mq Series,Networking,Pc Hardware Skills,Visual Basic]",1825
1825,[Nd:Information Technology],"[Business Connexion,JD Group,WEB Design]",[],[],Systems Developer,"[Senior Web Developer,Junior Developer]","[Microsoft Office Suite,Microsoft Visual Studio 2003,Micsroft Visual Studio 2005,Sql, Scripting And Stored Procedures,Microsoft Sql Server 2000/2005,Vb.Net,Ajax,Asp.Net 1.0/1.1,Asp.Net 2.0,Object Oriented Programming (Oop),Microsoft Patterns And Practices,Javascript,VB6,C#,Microsoft Expression Studio,Web Services (Xml),Micsroft Visual Studio 2008,Windows Mobile Development 5.0/6.0,Microsft Reporting Services,Crystal Reports,Microsoft Visual Studio 2008,Microsoft Sharepoint,Silverlight,Windows Active Directory]",1826
1826,"[B.Tech:  Computer Systems Engineering,National Diploma: Computer Systems Engineering,Senior Certificate]","[Blue Bison IT Solutions (Mogale City Local Municipality),ITB (Multichoice),Lightway Business Solutions,Vaal University of Technology]",[BI Developer],"[Lab. Assistant,Software Engineering Intern]",Business Intelligence Developer,"[Junior Business Intelligence,Tier 1 IT Desktop Technician]","[team leader,communication,organizing,T-SQL,BI,SSIS,SSRS,UML,SQL,Data Modelling,Tableau,C#,Architecture,JAVA]",1827
1827,"[B Com Business Management,Matric]","[Mediavision Interactive,Nedbank]",[],[],C# Developer,[Nedbank Teller],"[Microsoft Word,Microsoft Excel,HTML,Java Script,Vb Script,Microsoft Access,Microsoft Powerpoint,Asp.Net,C# Programming,Photoshop,Dreamweaver,Flash,Fireworks,Freehand]",1828
1828,"[Masters In Research,Management Development Programme,Financial Management,Industrial Relations,Ndp,Basic And Advanced Gerontology,Computer Literacy,Community Development,Honours In Social Science,Bachelors Degree In Social Work,6 Subjects]","[Dept. of Welfare & Pensions,South African Council for The Aged,Telkom,University of Natal]",[],"[Communications Officer,Schools Liaison Officer,Senior Community Developer,Social Worker,Research Worker]",Csi Manager,"[National Manager,Regional Manager]","[Csi Management,Microsoft,Email,Microsoft Excel]",1829
1829,"[Computer Engineering,Computer Graphics & Animation(3d)]","[Aquidneck Consulting,Eclipse Holdings,Global Internet Access,Mweb Business,Mweb Home,SAB Miller,Shoprite Checkers,UCS Solutions,UK Department for Transport,Usko Communications,ZAP Technology]","[Business Intelligence Developer,Technical Manager]","[Systems Analyst DBA,Systems Analyst DBA,Systems Developer,Technical Architect,Principal Microsoft Consultant,Microsoft Team Leader,Systems Administrator,Support Technician]",Database Developer,"[Independent Contractor,BI Technical Consultant]","[Microsoft Windows Server Nt / 2000 / 2003 / 2008,Microsoft Windows Client 95 / 98 / Me / Xp / Vista,Microsoft Internet Information Server 3 / 4 / 5 /,Microsoft Active Directory,High Availability Clustering & Load Balancing,Microsoft Sql Server 2005 (Rdb, Ssas, Ssis, Ssrs),Tsql,Microsoft Exchange 2007 (Corporate And Hosted),MDX,Asp.Net Framework 2.0,Proclarity 6.3,Microsoft Sql Server 6.5 / 7.0 / 2000,Microsoft Exchange 2000, 2003,Pci Dss Security Standard,Microsoft Isa Server 2004 / 2006,Microsoft Sharepoint Moss / Wss / Server,Microsoft Sql Server 2008]",1830
1830,"[Multimedia,Bachelor]","[Envision IT Solution (Sister Concern of Microsys C,Graphics International,MAC Advertising,Microsys Communication]",[],[Graphic Designer],Graphic Designer,"[Web Designer,Web-Designer Developer]",[Multimedia],1831
1831,"[Honours Degree In Computer Science,Bachelors Degree In Mathematical Sciences With Fin]","[AC Nielsen,Barclays Africa - Customer Value Management,Business Edge Systems,Liberty Life - Personal Benefits Systems,Nedcor (Capital ONE Alliance)- Personal Loans,PIC Solutions,Rand Afrikaans Univ - Computer Science Department]",[],"[Software Developer,Informatics Tutor,Bursary Student,Researcher]",Credit Risk Consultant,"[Performance Management Analyst,Analyst]","[Microsoft Excel,Sas Enterprise Edition,Triad V5, V8 \u2013 Triad,MS Visio,MS Project,Teradata Sql,Sql Server 2000]",1832
1832,"[Mcpd,Senior Certificate]",[Business Advisory Service],"[junior C# developer,front-end web developer,front-end web developer]",[],Website Developer and IT Support,[],"[Java,WPF,Windows Forms,XML,Html, Css, Javascript,Visual C#]",1833
1833,"[Bsc.Computer Science And Statistics,Senior Certificate]","[43plc.Com (Niche Communications),4DI Digital Security,Business Data Solutions,Foschinidata,Impression Works,Kewlnextgen Project at UWC,Personera,Sharpspring,University The Western Cape, ICS Department,Vosto,White Wall WEB]",[Senior Developer],"[Lead Deveoper,Senior Developer,Team Leader,Open Source Web Developer,Lead Programer,Programmer,Intern,Senior Lab Administrator]",Senior Developer,"[Senior Developer Development Manager,Senior Developer Lead Co-Founder]","[Full Stack Development,Development management,PHP,Problem Solving,Ruby,AWS,Communication And Interpersonal Skills,Jenkins,Nginx,Apache,Scrum,Microsoft Office,Mysql,Ubuntu,SQL,Symfony2,Solr,Golaith,Javascript,Docker,Google Cloud Services,Rails,Kubernetes,C++ (Varsity Exp.),Andriod ( Java ),Python,Macromedia Dreamweaver Mx,Oracle Pl/Sql,Visual Basic .NET,Arthur Planning Administration,Perl (Varsity Exp.),Macromedia Flash Mx]",1834
1834,"[B.Sc. Information Technology,B.Sc. Information Technology,Matric]",[World of Home Tuition],[],[],Web Developer,[Tutor],"[Programming In C++, Vb, Java, Php, Ml, Asp.,Web Development In Asp, Php, Perl, Linux]",1835
1835,"[Senior Paralegal,Certificate,Diploma,Certificate,Senior Certificate]","[Construction,Lexis Nexis,Lutge,Magigaba INC,The Regent Group]",[Accounts Manager],[Conveyancing Paralegal],Legal Sales Consultant,"[Indigo Property Developer Project Administration,Conveyancing Paralegal]","[Administrative Skills,Legal,management,Legal/ Project Management Software,Project Administration,Sales]",1836
1836,"[ITIL Foundation,Brick Buy Brick Property Investment Course,Secrets Of An Auction Millionaire Course,The 10-10-10 Program Book Writing Program By Raymond Aaron,Scrum Master,Msc (It),Manager As Coach,Situational Leadership,Senior Leadership Programme,Requirements Engineering Course,Modelling Business Processes Course,Business Analysis Essentials Course,Organisational Context Course,Presentation Skills Course,Business & Report Writing Course,Software Requirements Analysis & Specification,B Com (Hons),B.Com]","[ABSA Bank,Bupa Hospitals (Uk),CGI,Elsevier (Located in UK),Groupm,IQ Business Group ( ),M&J Aspire Ltd,MTN,Mweb Commerce Zone ( ),Standard Bank (Corp & Investmnt Banking-Africa IT),Standard Bank Group ( ),Thames Water (Uk)]","[Project Manager,Programme Manager,Business Analyses Manager,Programme Delivery Manager,Business Process Manager (Permanent),Senior Business Analyst (Contractor)]","[Project Manager,Senior Business Analyst Contractor,Senior Business Analyst,Senior Business Analyst,Business Analyst,Process Specialist,Process Consultant Principal,Business Process Analyst,Project Assistant,Junior Business Analyst Web Developer]",Project Manager - IT Security/ Crypto Java Development,"[Co-owner,Delivery Manager]","[Stakeholder Management,Project Management,Matrix Team Management,Vendor & Supplier Management,Risks Assumptions Issues and Dependencies (RAID / RIDA),Solutions Implementation,3rd Party Management,Requirements Management,AGILE,PRINCE2,Project Planning,Resource Management,MS Visio and ARIS Process Modeling,Documentation,Web Development,RALLY,People Management,Microsoft SharePoint,UML,User Training,Process Implementation,Cost Benefit Analysis,Why-Why /Cause And Effect /Process Quality Diagram,Critical Analysis / Boston Grid / Impact Analysis,Pestle / Most / Moscow / Catwoe,Presentation,Process Mapping To Bpmn Standard,Agile Software Development,Team Foundation Server / TFS,Uat/ System Demos,Mega Process Modeling,Ab Initio,MS Team Foundation Server (TFS),Cost Estimation,JIRA,KYC AML and Sanctions,ARIS,ScrumMaster,Business Process Improvement,Quality Centre,Case Tool: Select/ Ssadm - Beginner,eTOM,ITIL,SOA]",1837
1837,"[Ibm Certified Advanced System Administrator,Ibm Certified Advanced Application Developer,Information Technology,Matric]","[Nedcor,The Motor Finance Corporation (MFC)]",[],"[Lan Coordinator,Treasury Lan Administrator,Lan Administrator,y2k Rollout Team]",Lotus Notes Domino Developer,"[Lotus Notes Domino Administrator,Lan Administrator]","[Lotus Notes (Admin, Development, Client),Microsoft Windows 2000/Xp,Solidus,Rightfax,Pabx Management]",1838
1838,[Senior Certificate],"[Sanlam,Sanlam Employee Benefits]",[],[],Oracle Developer,[Oracle Developer],"[Oracle Forms 6i,Oracle Reports 6i,Oracle Sql Plus,Microfocus Cobol]",1839
1839,[Bachelor Of Science Information Technology],"[u""Ag's Distributors"", u'Blue Security,Hollywoodbets.Net,V-Tech Computers]","[C# Developer,.NET Developer,SQL and C#]",[Head Technician],Senior Developer C#,"[Software Developer,IT Administrator]","[.net developer,C# Developer,SQL And C#,C#,C++,Turbo Pascal,Borland Delphi,SQL]",1840
1840,"[Bachelor Of Business And Commerce Degree In Informatics,Microsoft Certified Technology Specialist (Sql Server 2008),Diploma In Computer Programming]","[Afrosoft Zimbabwe,Investec,Tech-Com Solutions]",[Web Developer/Database Admin/Programmer],[],Web Developer,"[Training Training Room Attendant,Computer Programmer]","[Database and tools : Photoshop, MS Office, MS Access, MS SQL,Internet Proficiency,Operating Systems: Windows 2000/Xp/Vista /Windows 7,Database Sql,C/C++,Vb6]",1841
1841,[Bcom Marketing Management (General Business Major)],"[Black Bull (IN Association With Protea Hotel),Booysen Stanbury TAX LAW Practitioners,Jonkershoek Fly-Fishing Academy,LA Croix DU SUD Holdings,ODE Enterprises & Management Contracting CC,Pals Clothing,Twice,Wild Side Surf Shop]","[Strategic / Project Manager,Financial Assistant Manager,Manager]","[Bar Tender and Part-Time Manager,Fly-Fishing Guide Instructor and Store Clerk,Farm Assistant,Marketing Management,Sales Clerk]",Professional Assistant and Business Developer,"[Business Developer,Strategic Business Consultant General Manager]","[u""[General Administration,In-Depth Research And High-Level Reporting]"", u'Direct Selling,Investment And Retirement Profiling,Sales & Marketing, Business Consulting,Income Tax Consultancy,Forensic Auditing,Microsoft Aplications (Word, Excel, Powerpoint),Staff Management]",1842
1842,"[Bsc - Information Technology,High School]","[Barclays Capital,Hlb/Nga Business Risk Auditors]",[],[],Software Tester,[Software Developer Consultant],"[Visual Basic 6,SQL/MS SQL Server]",1843
1843,"[M.S. Computer Science,B.Sc Computer Science And Mathematics]","[Ministry of Health & Social Welfare, Lesotho,Standard Bank]",[],[Software Programmer],Business Objects Administrator,"[Siebel Developer,Hiv Mis Manager]","[C + +,Microsoft Excel,Crystal Reports,mis,Business Objects,Datawarehousing,Data Collection,gis,Data Mining,Html,Linux,Computer Networking,crm,Java,Javascript]",1844
1844,"[Nd It,Matric]","[Glenwood Technology,Great Sun Motors,Telkom,United Pharmaceutical Distribution]","[Business Analyst,Programmer,Tester,Programmer,Tester]",[Assistant Manager],Programmer,"[Software Developer,Junior Web Designer]","[Functional Spec Sheet, Technical Spec Sheet,Php,Html,Sql,Unix,Proc,Javacript,Business Admin]",1845
1845,"[It Diploma,MCSD,C++,Introduction To Visual Basic 6,School]","[Eclipse Networks Witbank Branch,Gold Star International Couriers (Uk),Harrods (Uk),Mi-Nett Data Management,Ovations Group,Springbok International Removals (Uk),Standard Bank,Sybrin]",[Software Developer],"[Software Developer Web Developer,JNR Software Developer,Courier,General Manager,General Manager,Asst Stockroom Manager Perfumery Department]",Production Software Developer,"[Software Developer,Software Developer]","[Ms Sql Server 2000 And Ms Sql Server 2005,Xml Webservice,Asp.Net,Vb.Net,MS T-SQL,Faxcore,Crystal Reports,C# Visual Studio 2005,MS Visual Basic 6,MS C++,MS Access 2003,MS Share point Portal Server]",1846
1846,[National Diploma],"[Arcelormittal,Distell,Engen Petroleum,Shoprite Checkers]",[SAP ABAP HR Developer],[System Developer],SAP ABAP HR Developer,"[ABAP HR Developer,ABAP Developer]","[ABAP HR Development,ABAP (Core) Development]",1847
1847,"[E-Design,Multimedia And Solution Developing]","[ARRIVEALIVE,Auto Trader,Chillies software,IRP Engineering Plastics]","[web developer,Web Designer]",[Junior Designer],Digital Designer,"[Content Manager,WEB DEVELOPER]","[illustrator,FIREWORKS,FLASH,Javascript,BOOTSTRAP,WORDPRESS,DREAMWEAVER,Jquery,PHOTOSHOP,mysql,Wordpress,SQL,PHP,Opencart,JOOMLA,HTML,XML,CSS,Codeigniter]",1848
1848,"[Cobol Diploma,Matric Certificate]",[MIP],"[SQL,Progress,Business analyst,document writer,Project manager,RPGLE,RPG programmer]",[],Progress Developer,[],"[Rpg / Ile As400,As400 Qry, Operating System,HTML,Progress 4gl,Business Objects,Sql Server 2000,Javascript,Cascading Style Sheets]",1849
1849,"[B-Tech Degree In Information Technology,National Diploma In Information Technology]","[Flux Interactive,Powertech IST]",[],[],Software Developer,"[Junior ASP Programmer,Content Manager]","[Vbscripts, Javascripts, Ajax,Html,MS Word,Excel,Powerpoint,Access,Smallworld Pni,Smallworld Magik,Dhtml, Xml, Css,C#,MS SQL Server,Macromedia Dreamweaver,ASP,Adobe Photoshop,Adobe Acrobat,Oracle Sql And Oracle Forms,UML]",1850
1850,[Bachelor Computer Science],"[Akami Consulting ( ) PVT,,Inteq Solutions PVT,,Jr.Devloper]",[],"[Developer,Developer]",Java Developer,"[Developer,Java Developer]","[ide,Java,Eclipse,Html,Java Server Pages,Oracle Version 8,C + +,Enterprise Java Beans,Javabeans,Applets]",1851
1851,"[Mit - Masters Information Technology,B.Com,Matric]","[Comparex - With Telkom on Site,Dysis (Dynamic Skills Integrated Services),Telkom,Tshukudu -Netherlands]",[],[Programmer System Analyst],Programmer Business Analyst Project Manager,"[Consultant System Developer,Consultant System Developer]","[Programming, Various Languages, Oracle Sql,Etc,Businness Analysis,Data Modelling,Project Management]",1852
1852,[Certificate In Visual Basic Programming],"[MIH Internet,M-Web Holdings,Old Mutual,Reserve Bank]",[],[Programmer],Senior Developer,"[Analyst Programmer,Analyst Programmer]","[Visual Interdev,Html + Css,Javascript,Microsoft Asp,Vbscript,Visual Basic,Microsoft Sql Server,Activex,Delphi,C++,Java,XML]",1853
1853,"[Bed Honours,Feuerstein Cognitive Trainer', u""Assessor'S License"", u'Advanced Certificate,Tthd - Teacher Qualification]","[All Companies,Connaught Farms,Creative Memories,Debtsavvy, Agriseta,Nmmu University,Training Scene,Wced, Ted, Ned, Governing Bodies]",[],"[Lecturing,Trainer and Facilitator,Dairy Farm Manager,Teacher]",Field Development Manger National Sales,"[Material Developer per Us,Assessor]","[Leadership Training,Materials Management And Development,Presentation Skills,Training And Facilitation,Work Ethic,Porganization Skills,Report Writing,Manager,Time Management,Human Resources,Conflict Management,Microsoft Word, Powerpoint, Access, Excel, Front P,Field Development,Strategic Planning,Financial,Analysis,Sales Management]",1854
1854,"[Matric,Programming For The Internet Using Java And Html,Object Oriented Analysis And Design Using Uml,B.Sc. Honours (Physics And Electronics),B.Sc.]","[Atomic Energy Corporation,Barcodes,Breweries Engineering,Delta Beverages,Huppmann Process Africa,Magus Systems,Moonlight Mobile,Prism Payment Technologies,Saao at Hartebeeshoek,Self,Zylleyn]",[],"[Java Developer,PLC Programmer,Trainer,C++ and S7 Developer,Developer,Project Leader,Programmer,Assistant,Assistant]",Software Developer,"[Java Developer,PLC Programmer]","[Microsoft Windows,MS Word, Excel, Access,Electronic Circuit Design, Construction, Repair,C And C++ Programming,Siemens S5 Plc Programming,SQL,MS Visual Basic,Java Programming,Siemens S7 Plc Programming,Netbeans,Eclipse,Jfc Swing,UML,XML]",1855
1855,[Matriculation Exemption],"[Akhatech,CAI Business Consultants CC,CBW Wholesalers,Compusound,Gomail Internet & Futurecell,Heard,Hillcrest High School,MY Econome,on Site Computer Services,PC Plus,Thrutainers International]","[Web Developer,PHP Developer,System Administrator]","[IT Manager,MS Access Developer MSSQL Database Developer,IT Manager,HTML Design and Computer Technition,Database Administrator and Programmer,Administrator Programmer Technician and Support,High School,Computer Technician,Junior Technician]",Administrator,"[Administrator,Developer]","[Computer Maintanance,Computer Repairs,Office Products (Word, Excel, Access),Programming (Windows Vb / Vb.Net),Mysql Databases,Linux Servers (Web / Mail / Dns),Network / Internet Hardware,PHP,Windows Servers (Domains, File/Print / Iis / Dns),Ms-Sql Databases,Asp.Net Webservices & Pocket .NET Development,Asp (Classic)]",1856
